"SimulationNo","PercentVar","Rhat_k","Rhat_l","Rhat_s"
"231Mcmc.Rdata","Var_01",1.00276501251316,0.999305852412743,1.00397641683498
"243Mcmc.Rdata","Var_01",1.00673377762713,0.999406902169341,1.00980053977626
"255Mcmc.Rdata","Var_01",1.0033302426715,0.999304459379445,1.00460550549007
"267Mcmc.Rdata","Var_01",0.99989875302493,0.999214702805571,1.00025721017761
"279Mcmc.Rdata","Var_01",1.01271969161323,0.999576358228607,1.01653911825367
"27Mcmc.Rdata","Var_01",1.01242206352788,0.999521766599326,1.01263446390256
"291Mcmc.Rdata","Var_01",1.02530330056001,0.999865105251047,1.02896090154465
"303Mcmc.Rdata","Var_01",1.00187737955949,0.999269356655811,1.00160820253615
"315Mcmc.Rdata","Var_01",1.00586648975328,0.999410807631172,1.00853761146742
"327Mcmc.Rdata","Var_01",1.01496086814575,0.999579218840852,1.01783023570641
"339Mcmc.Rdata","Var_01",1.00225920351311,0.999283050284723,1.00311278680399
"351Mcmc.Rdata","Var_01",0.999344845280453,0.999205274333279,0.99956233950808
"363Mcmc.Rdata","Var_01",1.02385052712146,0.999814436164053,1.02768381783753
"375Mcmc.Rdata","Var_01",0.999982357748285,0.999223570211561,1.00002811774685
"387Mcmc.Rdata","Var_01",1.00223994952339,0.999267880786498,1.00284546862312
"399Mcmc.Rdata","Var_01",0.999649156742747,0.999217093077607,0.999765288663823
"39Mcmc.Rdata","Var_01",1.0001550069738,0.999221999358303,1.00070873206213
"3Mcmc.Rdata","Var_01",1.00422444774579,0.999350163588142,1.00614653163677
"411Mcmc.Rdata","Var_01",0.999438170260925,0.999207252186669,0.999700768752631
"423Mcmc.Rdata","Var_01",1.00091177397724,0.999251989441412,1.00169559553582
"435Mcmc.Rdata","Var_01",1.01375676308895,0.99958989487848,1.01511961801994
"447Mcmc.Rdata","Var_01",1.00082589184329,0.999252374933602,1.0015494702208
"459Mcmc.Rdata","Var_01",1.00186648099436,0.999260874422328,1.00241902588158
"471Mcmc.Rdata","Var_01",1.00522065020758,0.999351487769925,1.00683588823961
"483Mcmc.Rdata","Var_01",1.0027167286102,0.99930248531755,1.00357531474427
"495Mcmc.Rdata","Var_01",0.999935548449251,0.999227333816309,1.00030780583838
"507Mcmc.Rdata","Var_01",0.999802851347181,0.999209898284553,1.00018483779426
"519Mcmc.Rdata","Var_01",1.01587022403471,0.999638557715257,1.01848325923638
"51Mcmc.Rdata","Var_01",1.01062515845128,0.999495224229706,1.01437320020526
"531Mcmc.Rdata","Var_01",1.00044679054416,0.999222041669608,1.00067093080552
"543Mcmc.Rdata","Var_01",1.02004062233898,0.999694169043457,1.02641094867694
"555Mcmc.Rdata","Var_01",1.01437936542927,0.999649090749468,1.01979135463929
"567Mcmc.Rdata","Var_01",1.01052444106221,0.999498332545687,1.01294151328465
"579Mcmc.Rdata","Var_01",1.00814590609967,0.999444314590379,1.00982797890651
"591Mcmc.Rdata","Var_01",0.999803270952146,0.999221506359096,1.0003913722009
