"PercentVar","SimulationNo","k_Mean","lambda_Mean","start_Mean","k_HDIlow","lambda_HDIlow","start_HDIlow","k_HDIhigh","lambda_HDIhigh","start_HDIhigh"
"Var_001","742SummaryInfo.csv",12.828533222,0.5652503434,1.5013435137046,10.0617,0.492192,0.000364946,15.0082,0.619885,3.83458
"Var_001","743SummaryInfo.csv",6.420050598,0.387453043,7.721438183,4.4025,0.312673,4.6547,9.02111,0.463136,10.2159
"Var_001","744SummaryInfo.csv",8.791462092,0.4521260446,5.13845836846,5.6271,0.365038,1.18097,12.6394,0.555215,8.49187
"Var_001","745SummaryInfo.csv",9.947520736,0.4917252756,3.845624702826,6.69837,0.403294,0.00598927,13.7762,0.589183,6.92139
"Var_001","746SummaryInfo.csv",11.967843194,0.5408139568,2.0221504411308,8.94339,0.464102,0.000287334,14.4863,0.605883,4.73389
"Var_001","747SummaryInfo.csv",8.37032999,0.4527710184,5.51101210682,5.37088,0.362493,1.73265,11.8674,0.549092,8.69694
"Var_001","748SummaryInfo.csv",12.239715216,0.547642756,2.12611762023891,9.03979,0.465714,5.07754e-06,14.912,0.615914,4.92191
"Var_001","749SummaryInfo.csv",9.17708258,0.4811068606,5.1507936106,5.89035,0.383425,0.998544,13.3303,0.589203,8.41062
"Var_001","74SummaryInfo.csv",11.864846036,0.5557825672,2.6033563533726,8.59224,0.471823,0.000239617,15.0152,0.636057,5.4416
"Var_001","750SummaryInfo.csv",8.633227128,0.4320756554,4.177256820846,5.61414,0.34424,0.174837,12.2594,0.521415,7.58372
"Var_001","751SummaryInfo.csv",10.835194982,0.5064890928,3.186731700812,7.55989,0.420629,0.00755769,14.3373,0.594312,6.30859
"Var_001","752SummaryInfo.csv",5.522858948,0.3605458642,8.93436144,3.91837,0.300353,6.71921,7.37633,0.424398,11.1766
"Var_001","753SummaryInfo.csv",9.977278536,0.4860179198,3.571452224962,6.92741,0.404603,0.0441798,13.4004,0.572367,6.4872
"Var_001","754SummaryInfo.csv",9.87492534,0.4983550884,4.631364011744,6.24092,0.399554,0.956601,13.7194,0.602015,8.15595
"Var_001","755SummaryInfo.csv",11.021769312,0.5260297618,2.699128554758,7.94272,0.442747,0.00165924,14.1529,0.604699,5.63367
"Var_001","756SummaryInfo.csv",11.776048474,0.5370810462,2.24067352371,8.64227,0.455711,0.00208058,14.4983,0.606676,5.12629
"Var_001","757SummaryInfo.csv",11.620016602,0.5255576106,2.05548690467658,8.58905,0.445328,8.48589e-05,14.1803,0.588652,4.83233
"Var_001","758SummaryInfo.csv",6.53909107,0.3844563426,7.423395172,4.3996,0.310576,4.20287,9.19919,0.463464,10.0629
